ticker,date,open,high,low,close
XCH,2022-05-13,39.5686,39.5726,39.5647,39.5686
XCH,2022-05-14,35.0303,40.5733,35.0303,39.9766
XCH,2022-05-15,39.8469,40.8534,37.6431,39.9431
XCH,2022-05-16,39.9515,39.9935,36.8592,38.8915
XCH,2022-05-17,38.8226,39.199,37.7546,39.0192
XCH,2022-05-18,39.0231,39.4487,36.4625,38.0167
XCH,2022-05-19,38.0005,38.3178,35.9732,38.0319
XCH,2022-05-20,38.0319,38.0857,36.3527,36.586
XCH,2022-05-21,36.586,37.3351,35.5537,36.0031
XCH,2022-05-22,36.0331,37.2453,35.344,36.3363
XCH,2022-05-23,36.3663,37.1428,35.807,36.0531
XCH,2022-05-24,36.0567,36.0903,34.2023,35.8298
XCH,2022-05-25,35.8298,36.1466,33.9626,34.8916
XCH,2022-05-26,34.9081,36.7595,32.4211,34.7952
XCH,2022-05-27,34.7517,34.995,32.5442,33.0769
XCH,2022-05-28,33.0723,33.5927,32.6295,33.3709
XCH,2022-05-29,33.3503,33.7659,32.9374,33.7325
XCH,2022-05-30,33.7122,35.7214,33.3533,35.3717
XCH,2022-05-31,35.3552,35.6115,33.9862,34.5523
XCH,2022-06-01,34.5237,34.694,31.7051,32.3708
XCH,2022-06-02,32.3705,33.4998,31.6815,33.4898
XCH,2022-06-03,33.4698,33.5698,31.7685,32.4717
XCH,2022-06-04,32.4717,32.619,31.8281,32.1056
XCH,2022-06-05,32.0962,32.2909,31.7037,32.0299
XCH,2022-06-06,32.1085,32.9326,31.8201,32.4398
XCH,2022-06-07,32.3496,32.9339,30.9646,31.77
XCH,2022-06-08,31.8442,31.8442,30.2892,31.1397
XCH,2022-06-09,31.1549,31.1553,30.3074,30.7695
XCH,2022-06-10,30.7492,30.8897,28.5411,29.9616
XCH,2022-06-11,30.0867,30.0867,27.2681,28.9164
XCH,2022-06-12,28.3377,29.2002,26.8421,28.5448
XCH,2022-06-13,28.4447,29.1994,25.8991,28.4604
XCH,2022-06-14,28.5106,28.7565,26.9706,27.7067
XCH,2022-06-15,27.7369,30.9934,27.0315,30.9934
XCH,2022-06-16,31.1677,31.939,28.7754,29.7183
XCH,2022-06-17,30.0488,31.2927,29.489,31.1126
XCH,2022-06-18,31.1129,37.4884,29.6405,37.1294
XCH,2022-06-19,37.0994,50.0299,36.0288,45.0414
XCH,2022-06-20,45.2112,54.7197,42.0894,49.2258
XCH,2022-06-21,49.101,54.6843,43.9816,44.8007
XCH,2022-06-22,44.6808,46.2337,40.6893,42.0479
XCH,2022-06-23,41.998,45.6843,39.99,41.1188
XCH,2022-06-24,40.959,43.8261,40.8891,42.1871
XCH,2022-06-25,42.1771,42.6173,40.2234,41.3311
XCH,2022-06-26,41.391,42.77,40.4798,40.7547
XCH,2022-06-27,40.8451,44.9322,40.2766,42.3818
XCH,2022-06-28,41.8831,42.6694,41.1172,41.6387
XCH,2022-06-29,41.4286,43.6997,41.2218,42.9679
XCH,2022-06-30,42.9584,47.2723,1.028,43.1182
XCH,2022-07-01,43.2281,45.8303,42.3748,45.42
XCH,2022-07-02,45.41,45.9448,43.632,45.0858
XCH,2022-07-03,45.1158,45.2257,42.6702,43.8829
XCH,2022-07-04,43.9029,44.4366,42.285,43.4278
XCH,2022-07-05,43.4378,45.3455,42.4932,43.602
XCH,2022-07-06,43.602,43.7418,42.8328,43.4222
XCH,2022-07-07,43.4422,44.3212,43.1382,43.9836
XCH,2022-07-08,43.9636,45.1829,43.8505,44.4933
XCH,2022-07-09,44.4333,44.5233,42.9742,43.8137
XCH,2022-07-10,43.7937,43.9136,40.2059,42.2446
XCH,2022-07-11,42.1347,42.1347,37.7735,38.0857
XCH,2022-07-12,38.1824,40.925,35.886,39.7743
XCH,2022-07-13,39.7754,41.8789,38.4616,40.5746
XCH,2022-07-14,40.5218,41.2671,39.2316,39.9855
XCH,2022-07-15,40.0802,42.0744,39.7908,40.9719
XCH,2022-07-16,41.0877,41.5222,40.4314,40.8877
XCH,2022-07-17,40.8418,45.0978,40.8094,43.1874
XCH,2022-07-18,43.3378,46.0831,43.1474,44.2998
XCH,2022-07-19,44.2494,45.5354,42.6974,44.8072
XCH,2022-07-20,44.85,46.1643,42.9656,43.2222
XCH,2022-07-21,43.1952,43.8809,41.8221,43.2695
XCH,2022-07-22,43.2504,43.4322,41.8967,42.4193
XCH,2022-07-23,42.3697,42.9929,41.4212,41.7079
XCH,2022-07-24,41.7642,44.0766,41.5204,42.048
XCH,2022-07-25,41.978,42.7108,40.7657,41.6633
XCH,2022-07-26,41.6142,41.6142,39.1735,40.7961
XCH,2022-07-27,40.7861,43.3578,40.0276,40.9998
XCH,2022-07-28,41.0194,43.8697,40.8718,42.8686
XCH,2022-07-29,42.7711,43.9141,41.3599,43.0076
XCH,2022-07-30,42.9176,46.9669,42.5066,45.2149
XCH,2022-07-31,44.9735,45.9392,42.8086,44.4602
XCH,2022-08-01,44.482,44.8034,42.2114,43.1429
XCH,2022-08-02,43.313,43.6666,41.372,42.8073
XCH,2022-08-03,42.9482,43.4217,42.2184,43.3004
XCH,2022-08-04,43.2995,43.7739,42.2685,43.1213
XCH,2022-08-05,43.1413,44.0088,42.9017,43.8183
XCH,2022-08-06,43.8088,43.9488,42.9277,43.2295
XCH,2022-08-07,43.1695,43.7966,42.769,43.6083
XCH,2022-08-08,43.5183,44.5089,42.9177,43.9553
XCH,2022-08-09,44.0253,44.3075,42.5289,43.3187
XCH,2022-08-10,43.3287,43.8027,42.0505,43.5026
XCH,2022-08-11,43.5131,43.9006,43.0529,43.4904
XCH,2022-08-12,43.5117,43.6318,42.3812,42.7697
XCH,2022-08-13,42.7492,43.8615,42.7288,43.4269
XCH,2022-08-14,43.4174,43.4174,42.3323,42.8329
XCH,2022-08-15,42.8133,43.1817,41.8288,42.4402
XCH,2022-08-16,42.4398,42.9256,40.9429,42.1238
XCH,2022-08-17,42.0738,43.1069,41.5796,42.593
XCH,2022-08-18,42.563,42.6838,41.5933,41.8104
XCH,2022-08-19,41.8042,42.0442,39.0039,39.32
XCH,2022-08-20,39.3769,39.8179,38.0996,38.8596
XCH,2022-08-21,38.8688,41.3196,38.5934,40.3892
XCH,2022-08-22,40.4092,40.61,38.0677,39.1433
XCH,2022-08-23,39.1441,39.962,38.6996,39.3408
XCH,2022-08-24,39.39,39.642,38.6884,39.1135
XCH,2022-08-25,39.1031,39.452,38.8631,39.2712
XCH,2022-08-26,39.2712,39.4235,37.1804,38.7239
XCH,2022-08-27,38.7135,38.7835,36.6615,37.3411
XCH,2022-08-28,37.3804,37.8373,36.7974,37.5496
XCH,2022-08-29,37.49,37.7007,36.2775,37.5622
XCH,2022-08-30,37.5741,37.8896,36.1107,36.6733
XCH,2022-08-31,36.6829,37.06,35.9986,36.4796
XCH,2022-09-01,36.46,36.7274,36.0011,36.4778
XCH,2022-09-02,36.4778,36.8359,35.8722,36.1147
XCH,2022-09-03,36.1658,36.9737,36.0258,36.8737
XCH,2022-09-04,36.89,37.0,36.21,36.38
XCH,2022-09-05,36.3836,36.4936,35.1,35.5936
XCH,2022-09-06,35.59,36.1436,34.53,35.22
