ticker,date,open,high,low,close
RNDR,2022-01-29,3.16163,3.20196,3.02091,3.13894
RNDR,2022-01-30,3.12863,3.76913,2.94788,3.10124
RNDR,2022-01-31,3.09024,3.66246,2.85114,3.53977
RNDR,2022-02-01,3.53877,4.04902,3.42806,3.83091
RNDR,2022-02-02,3.8323,4.23354,3.28064,3.35969
RNDR,2022-02-03,3.36202,3.48874,3.14357,3.32966
RNDR,2022-02-04,3.32766,3.66783,3.25062,3.50981
RNDR,2022-02-05,3.51381,4.0048,3.4968,3.71923
RNDR,2022-02-06,3.71323,3.85131,3.42071,3.55742
RNDR,2022-02-07,3.55542,3.85169,3.45707,3.7116
RNDR,2022-02-08,3.7146,3.75262,3.20924,3.4441
RNDR,2022-02-09,3.4471,3.49379,3.21125,3.33466
RNDR,2022-02-10,3.33333,3.48278,3.02242,3.11518
RNDR,2022-02-11,3.11918,3.16153,2.64679,2.64979
RNDR,2022-02-12,2.64779,2.78239,2.53552,2.70635
RNDR,2022-02-13,2.70262,2.97148,2.50125,2.6083
RNDR,2022-02-14,2.60956,2.89874,2.53126,2.77767
RNDR,2022-02-15,2.78167,3.25795,2.77867,3.14889
RNDR,2022-02-16,3.15489,3.82191,2.9998,3.26396
RNDR,2022-02-17,3.26063,3.34767,2.73164,2.84699
RNDR,2022-02-18,2.84371,2.98209,2.67861,2.69662
RNDR,2022-02-19,2.69662,2.78567,2.53227,2.6113
RNDR,2022-02-20,2.60856,2.62758,2.34394,2.43722
RNDR,2022-02-21,2.44422,2.88044,2.41196,2.45498
RNDR,2022-02-22,2.45122,2.494,2.21789,2.36418
RNDR,2022-02-23,2.36718,2.64559,2.36718,2.42946
RNDR,2022-02-24,2.42746,2.42746,2.0012,2.33093
RNDR,2022-02-25,2.33493,2.55202,2.32093,2.54902
RNDR,2022-02-26,2.54927,2.71909,2.46098,2.46098
RNDR,2022-02-27,2.46023,2.54027,2.33293,2.39796
RNDR,2022-02-28,2.39596,2.65106,2.35894,2.64432
RNDR,2022-03-01,2.64306,2.9949,2.53201,2.97989
RNDR,2022-03-02,2.9859,3.331,2.86757,2.92058
RNDR,2022-03-03,2.92088,2.93688,2.68754,2.78156
RNDR,2022-03-04,2.77455,2.80356,2.48475,2.49075
RNDR,2022-03-05,2.50175,2.69381,2.4755,2.60078
RNDR,2022-03-06,2.60452,2.64153,2.4805,2.56977
RNDR,2022-03-07,2.57277,2.59678,2.41248,2.4985
RNDR,2022-03-08,2.50375,2.55851,2.43773,2.4855
RNDR,2022-03-09,2.4775,2.76055,2.4775,2.64053
RNDR,2022-03-10,2.63753,2.65553,2.4785,2.52101
RNDR,2022-03-11,2.52301,2.56002,2.35471,2.39548
RNDR,2022-03-12,2.39548,2.41948,2.359,2.36924
RNDR,2022-03-13,2.37171,2.40324,2.24867,2.25168
RNDR,2022-03-14,2.24845,2.30946,2.24622,2.30446
RNDR,2022-03-15,2.30546,2.35671,2.24345,2.3377
RNDR,2022-03-16,2.3397,2.53276,2.27145,2.49375
RNDR,2022-03-17,2.49575,2.58077,2.41921,2.42121
RNDR,2022-03-18,2.42097,2.57354,2.35418,2.51826
RNDR,2022-03-19,2.51926,3.09686,2.51801,2.67607
RNDR,2022-03-20,2.67607,2.77811,2.51526,2.61505
RNDR,2022-03-21,2.61204,2.77239,2.54502,2.72509
RNDR,2022-03-22,2.72309,2.91146,2.62531,2.87644
RNDR,2022-03-23,2.87544,2.87944,2.71909,2.78511
RNDR,2022-03-24,2.78511,2.94918,2.76911,2.83942
RNDR,2022-03-25,2.84014,2.91633,2.75283,2.76338
RNDR,2022-03-26,2.76238,2.76411,2.64006,2.70608
RNDR,2022-03-27,2.70535,2.79512,2.53026,2.79084
RNDR,2022-03-28,2.79112,3.11425,2.76283,2.9902
RNDR,2022-03-29,2.9902,3.13825,2.86086,2.89044
RNDR,2022-03-30,2.89545,3.04291,2.84714,3.0149
RNDR,2022-03-31,3.0099,3.25865,2.89158,2.94888
RNDR,2022-04-01,2.94788,3.09655,2.81284,2.9849
RNDR,2022-04-02,2.9879,3.2423,2.93688,3.12025
RNDR,2022-04-03,3.12425,3.16627,3.0112,3.06122
RNDR,2022-04-04,3.06423,3.09924,2.73055,2.90558
RNDR,2022-04-05,2.90458,2.97989,2.78083,2.83728
RNDR,2022-04-06,2.83857,2.84557,2.496,2.579
RNDR,2022-04-07,2.57926,2.65327,2.46925,2.563
RNDR,2022-04-08,2.56426,2.61152,2.42773,2.493
RNDR,2022-04-09,2.493,2.5025,2.40272,2.48875
RNDR,2022-04-10,2.49175,2.57977,2.44873,2.5255
RNDR,2022-04-11,2.5235,2.5235,2.0006,2.0146
RNDR,2022-04-12,2.0154,2.15743,2.0004,2.02961
RNDR,2022-04-13,2.03161,2.11764,2.0016,2.10563
RNDR,2022-04-14,2.10342,2.13064,1.96359,2.0234
RNDR,2022-04-15,2.0224,2.06441,2.0044,2.0222
RNDR,2022-04-16,2.0224,2.0482,2.0094,2.0164
RNDR,2022-04-17,2.0202,2.04841,1.9784,2.04641
RNDR,2022-04-18,2.04741,2.04741,1.87938,1.9916
RNDR,2022-04-19,1.9936,2.17343,1.98059,2.07141
RNDR,2022-04-20,2.07141,2.20222,2.02941,2.06941
RNDR,2022-04-21,2.06741,2.12643,1.94339,1.95639
RNDR,2022-04-22,1.9582,1.97039,1.84818,1.92719
RNDR,2022-04-23,1.92839,1.93639,1.85219,1.89719
RNDR,2022-04-24,1.89438,1.90138,1.77335,1.79536
RNDR,2022-04-25,1.79636,1.80636,1.56816,1.71217
RNDR,2022-04-26,1.71334,1.74935,1.4903,1.54615
RNDR,2022-04-27,1.545,1.555,1.44014,1.46515
RNDR,2022-04-28,1.46415,1.622,1.46415,1.55416
RNDR,2022-04-29,1.55516,1.60116,1.37014,1.38314
RNDR,2022-04-30,1.38314,1.42114,1.261,1.26413
